@relation 'adult 2-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z50.0-no-replacement'

@attribute age numeric
@attribute workclass {Private,State-gov,Federal-gov,Self-emp-not-inc,Self-emp-inc,Local-gov,Without-pay,Never-worked}
@attribute fnlwgt numeric
@attribute education {HS-grad,Some-college,7th-8th,10th,Doctorate,Prof-school,Bachelors,Masters,11th,Assoc-acdm,Assoc-voc,1st-4th,5th-6th,12th,9th,Preschool}
@attribute education.num numeric
@attribute marital.status {Widowed,Divorced,Separated,Never-married,Married-civ-spouse,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Exec-managerial,Machine-op-inspct,Prof-specialty,Other-service,Adm-clerical,Craft-repair,Transport-moving,Handlers-cleaners,Sales,Farming-fishing,Tech-support,Protective-serv,Armed-Forces,Priv-house-serv}
@attribute relationship {Not-in-family,Unmarried,Own-child,Other-relative,Husband,Wife}
@attribute race {White,Black,Asian-Pac-Islander,Other,Amer-Indian-Eskimo}
@attribute sex {Female,Male}
@attribute capital.gain numeric
@attribute capital.loss numeric
@attribute hours.per.week numeric
@attribute native.country {United-States,Mexico,Greece,Vietnam,China,Taiwan,India,Philippines,Trinadad&Tobago,Canada,South,Holand-Netherlands,Puerto-Rico,Poland,Iran,England,Germany,Italy,Japan,Hong,Honduras,Cuba,Ireland,Cambodia,Peru,Nicaragua,Dominican-Republic,Haiti,El-Salvador,Hungary,Columbia,Guatemala,Jamaica,Ecuador,France,Yugoslavia,Scotland,Portugal,Laos,Thailand,Outlying-US(Guam-USVI-etc)}
@attribute income {<=50K,>50K}

@data
0.219178,Private,0.081713,Some-college,0.6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.44898,United-States,<=50K
0.246575,Private,0.19029,Doctorate,1,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,0.397959,Taiwan,>50K
0.164384,Private,0.200928,Some-college,0.6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.356164,Private,0.05006,HS-grad,0.533333,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,0.397959,United-States,<=50K
0.054795,Private,0.057429,Some-college,0.6,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,0.193878,United-States,<=50K
0.109589,Private,0.134818,Bachelors,0.8,Never-married,Prof-specialty,Own-child,White,Female,0,0,0.397959,United-States,<=50K
0.273973,Private,0.076664,Some-college,0.6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.602041,United-States,>50K
0.205479,State-gov,0.111141,HS-grad,0.533333,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.342466,Private,0.146141,HS-grad,0.533333,Never-married,Other-service,Other-relative,Black,Male,0,0,0.397959,United-States,<=50K
0.589041,Private,0.14579,HS-grad,0.533333,Divorced,Adm-clerical,Unmarried,White,Female,0,0,0.367347,United-States,<=50K
0.273973,Self-emp-inc,0.118223,HS-grad,0.533333,Married-civ-spouse,Sales,Husband,White,Male,0.076881,0,0.602041,United-States,>50K
0.356164,Private,0.135542,HS-grad,0.533333,Never-married,Other-service,Unmarried,Black,Female,0,0,0.234694,United-States,<=50K
0.561644,Self-emp-not-inc,0.080432,Masters,0.866667,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.5,United-States,<=50K
0.041096,Private,0.098688,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.534247,Private,0.114733,Bachelors,0.8,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.397959,United-States,>50K
0.452055,Private,0.06796,HS-grad,0.533333,Divorced,Exec-managerial,Unmarried,White,Male,0,0,0.377551,United-States,<=50K
0.493151,State-gov,0.070688,Some-college,0.6,Divorced,Adm-clerical,Other-relative,White,Female,0.0465,0,0.397959,United-States,<=50K
0.109589,Self-emp-not-inc,0.133861,HS-grad,0.533333,Never-married,Other-service,Other-relative,White,Male,0,0,0.316327,United-States,<=50K
0.315068,Self-emp-inc,0.067371,Bachelors,0.8,Never-married,Prof-specialty,Own-child,White,Male,0,0,0.397959,United-States,<=50K
0.013699,Private,0.133224,12th,0.466667,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0.05102,United-States,<=50K
0.356164,Private,0.227957,HS-grad,0.533333,Separated,Sales,Not-in-family,White,Female,0,0,0.295918,United-States,<=50K
0.383562,State-gov,0.176361,Bachelors,0.8,Divorced,Protective-serv,Not-in-family,White,Female,0,0,0.397959,United-States,<=50K
0.082192,Private,0.125591,Bachelors,0.8,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,0.397959,United-States,<=50K
0.109589,Private,0.076884,Some-college,0.6,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,0.336735,United-States,<=50K
0.315068,Private,0.082681,11th,0.4,Never-married,Other-service,Other-relative,White,Male,0,0,0.397959,United-States,<=50K
0.123288,Private,0.055821,Some-college,0.6,Married-civ-spouse,Transport-moving,Husband,White,Male,0.072981,0,0.55102,United-States,>50K
0.068493,Private,0.134824,Some-college,0.6,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,0.346939,United-States,<=50K
0.09589,Private,0.121353,HS-grad,0.533333,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.479592,United-States,<=50K
0.054795,Private,0.076036,Assoc-acdm,0.733333,Never-married,Other-service,Own-child,White,Female,0,0,0.397959,United-States,<=50K
0.246575,Private,0.093568,Some-college,0.6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.397959,United-States,>50K
0.369863,Private,0.09499,Assoc-acdm,0.733333,Separated,Exec-managerial,Not-in-family,White,Male,0,0,0.397959,United-States,<=50K
0.493151,Private,0.062569,HS-grad,0.533333,Widowed,Other-service,Unmarried,Black,Female,0,0,0.193878,United-States,<=50K
0.164384,Private,0.190698,Bachelors,0.8,Never-married,Sales,Not-in-family,White,Male,0,0,0.5,United-States,>50K
