@relation 'adult 2-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z50.0-no-replacement-V'

@attribute age numeric
@attribute workclass {Private,State-gov,Federal-gov,Self-emp-not-inc,Self-emp-inc,Local-gov,Without-pay,Never-worked}
@attribute fnlwgt numeric
@attribute education {HS-grad,Some-college,7th-8th,10th,Doctorate,Prof-school,Bachelors,Masters,11th,Assoc-acdm,Assoc-voc,1st-4th,5th-6th,12th,9th,Preschool}
@attribute education.num numeric
@attribute marital.status {Widowed,Divorced,Separated,Never-married,Married-civ-spouse,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Exec-managerial,Machine-op-inspct,Prof-specialty,Other-service,Adm-clerical,Craft-repair,Transport-moving,Handlers-cleaners,Sales,Farming-fishing,Tech-support,Protective-serv,Armed-Forces,Priv-house-serv}
@attribute relationship {Not-in-family,Unmarried,Own-child,Other-relative,Husband,Wife}
@attribute race {White,Black,Asian-Pac-Islander,Other,Amer-Indian-Eskimo}
@attribute sex {Female,Male}
@attribute capital.gain numeric
@attribute capital.loss numeric
@attribute hours.per.week numeric
@attribute native.country {United-States,Mexico,Greece,Vietnam,China,Taiwan,India,Philippines,Trinadad&Tobago,Canada,South,Holand-Netherlands,Puerto-Rico,Poland,Iran,England,Germany,Italy,Japan,Hong,Honduras,Cuba,Ireland,Cambodia,Peru,Nicaragua,Dominican-Republic,Haiti,El-Salvador,Hungary,Columbia,Guatemala,Jamaica,Ecuador,France,Yugoslavia,Scotland,Portugal,Laos,Thailand,Outlying-US(Guam-USVI-etc)}
@attribute income {<=50K,>50K}

@data
0.041096,Private,0.126127,Some-college,0.6,Never-married,Prof-specialty,Own-child,White,Male,0,0,0.397959,United-States,<=50K
0.013699,Private,0.130886,Some-college,0.6,Never-married,Other-service,Own-child,White,Male,0,0,0.255102,United-States,<=50K
0.232877,Federal-gov,0.121607,Bachelors,0.8,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,0.377551,United-States,<=50K
0.60274,Private,0.156883,HS-grad,0.533333,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.328767,Private,0.171404,Some-college,0.6,Separated,Prof-specialty,Own-child,White,Female,0,0.895317,0.397959,United-States,<=50K
0.232877,Private,0.138941,HS-grad,0.533333,Divorced,Other-service,Unmarried,White,Female,0,0.865473,0.44898,United-States,<=50K
0.068493,Private,0.237933,HS-grad,0.533333,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0.397959,United-States,<=50K
0.780822,State-gov,0.051855,Doctorate,1,Never-married,Prof-specialty,Other-relative,White,Female,0,0.8455,0.193878,United-States,>50K
0.164384,Self-emp-not-inc,0.25643,HS-grad,0.533333,Never-married,Craft-repair,Not-in-family,White,Male,0,0,0.5,United-States,>50K
0.342466,Local-gov,0.111674,Masters,0.866667,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,0.397959,United-States,<=50K
0.178082,Self-emp-not-inc,0.405797,Assoc-voc,0.666667,Never-married,Craft-repair,Not-in-family,White,Male,0,0,0.397959,United-States,<=50K
0.643836,Local-gov,0.129347,HS-grad,0.533333,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,0.346939,United-States,<=50K
0.342466,Self-emp-inc,0.119755,Bachelors,0.8,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.602041,United-States,>50K
0.082192,Private,0.173768,Bachelors,0.8,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,0.44898,United-States,<=50K
0.465753,Private,0.10859,Doctorate,1,Never-married,Prof-specialty,Not-in-family,White,Male,0,0.648301,0.397959,United-States,>50K
0.342466,Private,0.220289,Assoc-voc,0.666667,Separated,Prof-specialty,Unmarried,White,Female,0,0,0.397959,United-States,<=50K
0.30137,Private,0.325121,Bachelors,0.8,Never-married,Exec-managerial,Other-relative,Black,Male,0,0,0.44898,United-States,<=50K
0.082192,Private,0.060852,10th,0.333333,Never-married,Craft-repair,Not-in-family,White,Female,0,0,0.397959,United-States,<=50K
0.109589,Private,0.124172,HS-grad,0.533333,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,0.346939,United-States,<=50K
0.219178,Private,0.128838,Masters,0.866667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.44898,United-States,<=50K
0.082192,Private,0.092681,Some-college,0.6,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,0.346939,United-States,<=50K
0.082192,Private,0.150526,Some-college,0.6,Never-married,Other-service,Own-child,White,Female,0,0,0.193878,United-States,<=50K
0.273973,Private,0.1683,HS-grad,0.533333,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,0.397959,United-States,<=50K
0.09589,Private,0.117607,Bachelors,0.8,Never-married,Tech-support,Not-in-family,White,Female,0,0,0.5,United-States,<=50K
0.219178,Private,0.038729,HS-grad,0.533333,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,0.397959,United-States,<=50K
0.287671,Private,0.113438,HS-grad,0.533333,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.246575,Private,0.166369,HS-grad,0.533333,Never-married,Prof-specialty,Own-child,White,Male,0,0,0.397959,United-States,<=50K
0.890411,Private,0.265974,HS-grad,0.533333,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,0.020408,United-States,<=50K
0.479452,Private,0.167953,HS-grad,0.533333,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.123288,Self-emp-not-inc,0.038334,HS-grad,0.533333,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,0,0,0.5,United-States,>50K
0.150685,Local-gov,0.141583,HS-grad,0.533333,Separated,Transport-moving,Own-child,White,Female,0,0,0.244898,United-States,<=50K
0.60274,Local-gov,0.16835,HS-grad,0.533333,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,0.397959,United-States,<=50K
0.09589,Private,0.091293,Some-college,0.6,Never-married,Other-service,Not-in-family,White,Female,0,0,0.295918,United-States,<=50K
0.534247,Private,0.140681,10th,0.333333,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,0.397959,United-States,<=50K
0.589041,Self-emp-not-inc,0.13105,HS-grad,0.533333,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0.587466,0.5,United-States,>50K
