@relation ionosphere-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z50.0-no-replacement-V-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute a01 numeric
@attribute a02 numeric
@attribute a03 numeric
@attribute a04 numeric
@attribute a05 numeric
@attribute a06 numeric
@attribute a07 numeric
@attribute a08 numeric
@attribute a09 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute class {b,g}

@data
1,0,0.997695,0.231787,0.926215,0.51153,0.91699,0.31146,1,0.5188,0.926215,0.377281,0.798775,0.312527,0.80268,0.155467,0.92178,0.30729,0.79106,0.33904,0.784855,0.35163,0.68473,0.263215,0.784055,0.244145,0.70539,0.26916,0.60633,0.184506,0.711335,0.227565,0.593205,0.2735,g
0,0,0.5,0.274511,0.5,0.5,0.5,0.5,1,1,1,1,0.5,0.567663,0.5,0.389007,0.3125,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,1,1,0.5,0.5,0.5,b
1,0,0.733925,0.356549,0.7949,0.503325,0.77716,0.53437,0.73947,0.430155,0.764965,0.478207,0.81929,0.475781,0.839245,0.368685,0.772725,0.432375,0.764965,0.47672,0.73947,0.40244,0.75388,0.432375,0.707315,0.399115,0.76965,0.442725,0.799335,0.374304,0.768295,0.44124,0.781595,0.477825,g
1,0,0.80769,0.411795,0.890785,0.5089,0.88743,0.513235,0.825385,0.44846,0.88769,0.51348,0.869805,0.596386,0.86161,0.424298,0.843075,0.455385,0.80846,0.58154,0.831165,0.537865,0.81939,0.540205,0.80077,0.463845,0.794015,0.543835,0.775385,0.548082,0.766945,0.546035,0.753045,0.54661,g
1,0,0.920885,0.589808,0.75,0.8808,0.54958,0.9673,0.31118,0.94093,0.138185,0.794715,0.03059,0.67784,0.066455,0.233039,0.185655,0.17194,0.374475,0.07173,0.581225,0.06751,0.757385,0.16561,0.874475,0.355485,0.889685,0.539665,0.820675,0.652292,0.657175,0.812235,0.49789,0.847045,g
1,0,0.973245,0.280982,0.986435,0.4987,0.99461,0.50186,0.979005,0.50799,0.97027,0.489841,0.986065,0.594451,0.993125,0.400359,0.971385,0.535675,0.992755,0.49647,0.98885,0.5249,0.98179,0.53549,0.96637,0.540505,0.976215,0.52178,0.987365,0.396806,0.989225,0.535305,1,0.4987,g
1,0,1,0.357108,0.850095,0.43928,0.90797,0.548385,0.855785,0.505695,0.780835,0.430031,0.84535,0.638757,0.79317,0.413355,0.765655,0.48292,0.84725,0.58444,0.86338,0.536055,0.66034,0.52941,0.766605,0.686905,0.74545,0.589755,0.5759,0.58917,0.720705,0.594485,0.780835,0.5759,g
1,0,0.95187,0.262874,1,0.540105,1,0.50802,0.96524,0.502675,0.967915,0.462691,1,0.567663,1,0.428214,1,0.524065,0.95722,0.52139,0.983955,0.510695,0.99465,0.49198,0.981285,0.52674,0.98487,0.52226,0.938505,0.398338,1,0.545455,0.989305,0.532085,g
1,0,0.94705,0.371908,0.935005,0.657715,0.89448,0.71694,0.81694,0.799875,0.770015,0.846725,0.698495,1,0.62133,0.874887,0.54567,0.89799,0.454205,0.881305,0.398995,0.83463,0.348685,0.81305,0.29724,0.752445,0.268925,0.703765,0.24843,0.557569,0.235885,0.59586,0.25596,0.52986,g
1,0,1,0,0.824325,0.64865,0.824325,0.37838,0.93243,0.594595,1,0.328248,0.756755,0.567663,0.81081,0.355983,0.66216,0.39189,0.859165,0.41167,0.81081,0.527025,0.87838,0.56757,0.675675,0.35135,0.805155,0.389185,0.79239,0.251788,0.864865,0.202705,0.756755,0.37838,g
0,0,1,1,1,0,1,0,1,1,0.5,0.471174,1,0,0.5,0.389007,0.5,0.5,0.5,0.5,0,1,1,1,0.5,0.5,1,1,0.5,0.391831,0,0,0.5,0.5,b
1,0,0.97299,0.255031,0,0.630655,0.318035,0.678195,0.84629,0.182865,1,0.453442,0.3549,0.56454,0.22574,0.483418,0.959605,0.26865,1,0.24788,0.351325,0.34273,0.13068,0.686805,0.91936,0.26633,0.76104,0.20935,1,0.018458,0.45183,0.602385,0.469415,0.709565,b
1,0,0.85435,0.094713,0.82174,0.52174,0.726085,0.691305,0.826085,0.591305,0.75,0.613729,0.78913,0.436856,0.752175,0.620121,0.69348,0.286955,0.680435,0.369565,0.634785,0.558695,0.76623,0.480775,0.65652,0.43913,0.74965,0.47868,0.74174,0.36478,0.82174,0.373915,0.752175,0.573915,g
0,0,0.5,0.274511,1,1,0.5,0.5,1,1,0.5,0.471174,1,0,0.5,0.389007,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0.391831,0,1,0.5,0.5,b
1,0,1,0.292365,0.99836,0.524305,0.987725,0.535715,0.808725,0,0.95518,0.530122,0.94231,0.872157,0.910385,0.475383,0.884645,0.575945,1,0.705015,0.82925,0.581855,0.80069,0.58258,0.77223,0.58195,0.744335,0.580095,0.717405,0.485708,0.69176,0.573385,1,1,b
0,0,0.5,0.274511,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.471174,0.5,0.567663,0.5,0.389007,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.391831,0.5,0.5,0.5,0.5,b
0,0,0.5,0.274511,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.471174,0.5,0.567663,0.5,0.389007,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0.391831,0.5,0.5,0.5,0.5,b
0,0,0.5,0.274511,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,b
1,0,1,0.234398,1,0,0.75,0.444445,0.680555,0.38889,1,0.335202,0.583335,0.50459,1,0.177237,1,0.305735,1,0.28569,0.5,0.375,1,0.248335,1,0.36111,1,0.21454,1,0.222894,1,0.18422,1,0.170325,b
1,0,1,0.340465,0.977275,0.454545,0.886365,0.5,1,0.5,0.977275,0.471174,1,0.593463,0.954545,0.361237,1,0.5,1,0.5,0.93182,0.545455,0.886365,0.545455,0.954545,0.522725,0.957705,0.514485,0.977275,0.44712,0.93182,0.454545,0.93182,0.522725,g
1,0,1,0.270071,1,0.45083,1,0.461755,1,0.446975,1,0.412617,1,0.343498,1,0.293594,0.96062,0.34058,0.932365,0.32733,0.958465,0.27964,0.9803,0.26567,0.90937,0.29814,0.913405,0.288845,0.87892,0.159322,0.90224,0.297125,0.87177,0.274805,g
