@relation ionosphere-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z50.0-no-replacement-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute a01 numeric
@attribute a02 numeric
@attribute a03 numeric
@attribute a04 numeric
@attribute a05 numeric
@attribute a06 numeric
@attribute a07 numeric
@attribute a08 numeric
@attribute a09 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute class {b,g}

@data
1,0,1,0.488705,1,0.47753,1,0.238687,1,0.456005,1,0.780865,1,0.43631,1,0.42739,1,0.662035,1,0.411805,0.99742,0.405255,0.978005,0.399595,1,0.03858,0.894872,0.391035,0.9146,0.38815,0.892395,0.386175,0.86996,0.385095,g
1,0,0.973265,0.643565,0.86277,0.83624,0.73782,0.874794,0.506335,0.945545,0.179754,0.922375,0.26178,0.780395,0.120595,0.708715,0.138003,0.53604,0.17287,0.402375,0.237625,0.28,0.345745,0.224555,0.479405,0.17604,0.306459,0.2179,0.68376,0.290495,0.730295,0.387325,0.75188,0.4701,g
1,0,1,0.459085,1,0.44337,0.99623,0.073696,1,0.334625,0.978074,0.328595,0.92894,0.263675,0.95952,0.25915,0.860614,0.17388,0.840655,0.18228,0.91225,0.10842,0.794145,0.126075,0.835165,0.01852,0.576487,0.071655,0.689705,0.080535,0.620585,0.05577,0.646105,0.051895,g
1,0,0.956765,0.90793,0.135135,1,0.30267,0.684112,0.527025,0.64865,0.220953,0.448795,0.48421,0.45515,0.507005,0.482985,0.487882,0.497315,0.50171,0.500485,0.50024,0.500375,0.499985,0.500095,0.499985,0.50001,0.173511,0.5,0.5,0.5,0.5,0.5,0.5,0.5,b
0,0,0,1,1,0,0.5,0.286372,0.5,0.5,1,0,1,1,0.5,0.5,1,0,0.5,0.5,0.5,0.5,1,1,0,1,1,0,0,1,0,0,0.5,0.5,b
1,0,0.968345,0.49905,0.803805,0.71602,0.96157,0,0.965615,0.58414,0.975019,0.545305,0.99838,0.54086,0.95793,0.525485,0.920395,0.37338,0.936895,0.42759,0.924355,0.630665,0.875405,0.481795,0.922735,0.487055,0.894979,0.48849,0.99272,0.546925,0.891585,0.44903,0.929205,0.426375,g
0,0,0.5,0.5,0.5,0.5,0.5,0.286372,0.5,0.5,0.343125,0.5,1,1,1,1,1,0,0.5,0.5,1,1,1,0,1,1,1,0.5,1,1,1,0,0.5,0.5,b
1,0,0,0.201615,0.5,0.5,0,0.746776,0.064515,1,0.343125,0.5,0.5,0.5,0.5,0.5,0.482144,0.5,0.5,0.5,0,0,0.5,0.5,0.649195,0.616935,1,0.758065,0.5,0.5,0.5,0.5,0.5,0.5,b
1,0,0.69697,0.37879,0.813275,0.50635,0.727275,0.351248,0.81818,0.545455,0.482461,0.39394,0.78788,0.57576,0.69697,0.5,0.772951,0.522805,0.757575,0.51515,0.89394,0.59091,0.651515,0.42424,0.74263,0.529645,0.556692,0.53071,0.666665,0.48485,0.70928,0.53205,0.69697,0.62121,g
1,0,0.967685,0.568225,0.96858,0.626795,0.928525,0.56311,0.895195,0.735635,0.818387,0.79971,0.8263,0.875,0.75415,0.86793,0.697722,0.91371,0.627695,0.92976,0.56856,0.928075,0.50247,0.944345,0.463195,0.8989,0,0.89002,0.334155,0.85727,0.30734,0.821815,0.262905,0.779175,g
0,0,0.5,0.5,0.5,0.5,0.5,0.286372,0.5,0.5,0.343125,0.5,0.5,0.5,0.5,0.5,0.482144,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0.5,0.5,0.5,0.5,0.5,b
0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0.5,1,0,1,0,0,1,0,1,b
1,0,1,0.487995,0.9707,0.532655,0.96053,0.120418,0.88576,0.418005,0.689942,0.398625,0.782045,0.49644,0.671975,0.362715,0.756297,0.3911,0.725535,0.410935,0.52991,0.322125,0.511545,0.235605,0.51643,0.17421,0.283359,0.23397,0.512155,0.189015,0.471465,0.202135,0.47696,0.171515,g
1,0,0.75233,0.4155,0.85721,0.507565,0.855315,0.302486,0.840325,0.50641,0.570502,0.52797,0.84525,0.521965,0.840505,0.52529,0.829227,0.52846,0.817015,0.47669,0.822515,0.53428,0.815385,0.536905,0.920165,0.590325,0.668871,0.54152,0.69114,0.5338,0.78233,0.54523,0.77316,0.54673,g
1,0,0.73684,0.44737,0.918905,0.50878,0.915775,0.305033,0.842105,0.473685,0.792565,0.5,0.89928,0.52514,0.891575,0.52878,0.918236,0.73684,1,0.526315,0.86275,0.538155,0.851505,0.540705,0.710525,0.605265,0.714195,0.54484,0.76316,0.394735,0.80075,0.54767,0.78709,0.548595,g
1,0,0.97026,0.492345,0.97085,0.505005,0.97497,0.275867,0.97939,0.4947,0.964798,0.48145,0.985865,0.491165,0.985275,0.480565,0.976515,0.47968,0.97615,0.476445,0.971145,0.489105,0.964075,0.477915,0.960245,0.47762,0.939626,0.470865,0.95171,0.462605,0.959955,0.46378,0.960245,0.4629,g
0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,b
1,0,1,0.525745,0.996815,0.550615,0.98071,0.391675,0.977565,0.36752,0.776833,0.773505,0.90213,0.626415,0.868905,0.6369,0.827942,0.64357,0.798075,0.64652,0.76247,0.646,0.72791,0.64238,0.695115,0.63613,0.44568,0.627765,0.636905,0.61784,0.612135,0.60689,0.59043,0.595415,g
1,0,0.509875,0.503525,0.52045,0.49577,0.51058,0.294422,0.50564,0.52186,0.344978,0.500705,0.509875,0.484485,0.490125,0.530325,0.460964,0.5134,0.48801,0.497885,0.52186,0.487305,0.50917,0.5,0.5,0.493655,0.188677,0.49436,0.50282,0.492245,0.491535,0.48801,0.503525,0.5,b
1,0,0.96829,0.675535,0.87627,0.8282,0.727855,0.918475,0.576615,0.97888,0.200091,0.981505,0.217325,0.916985,0.106245,0.790225,0,0.6301,0.031795,0.46791,0.06486,0.295255,0.174605,0.16268,0.316005,0.075245,0.135683,0.043895,0.63665,0.07119,0.774135,0.151935,0.87414,0.279135,g
1,0,1,0.508545,0.981075,0.48429,1,0.261852,1,0.474645,0.993602,0.46454,0.995865,0.45499,1,0.421365,1,0.428715,0.99155,0.440935,1,0.407405,1,0.40364,0.994855,0.389585,0.970991,0.398785,0.972995,0.414385,0.98218,0.387195,0.935055,0.38352,g
1,0,0.5,0.5,1,0.564445,0.94222,0.272099,0.5,0.5,1,0.28778,1,0.59778,1,0.473335,1,0.09222,0.5,0.5,1,0.48,1,0.406665,0.5,0.5,1,0,0.5,0.5,1,0.55889,0.953335,0.45222,b
